adm_cd,adm_nm,자치구,pop,area_km2,pop_density
1165062100,방배4동,서초구,22836.0,0.948814713343388,24067.9
1165065100,양재1동,서초구,42076.0,5.760105367317352,7304.7
1165065200,양재2동,서초구,21335.0,7.557413427988989,2823.1
1165066000,내곡동,서초구,17253.0,12.699236435965778,1358.6
1168051000,신사동,강남구,15429.0,2.0576781492083978,7498.3
1168052100,논현1동,강남구,21144.0,1.257791383680579,16810.4
1168053100,논현2동,강남구,20430.0,1.4574173172755862,14017.9
1168054500,압구정동,강남구,25604.0,2.3432783079124,10926.6
1168056500,청담동,강남구,24750.0,2.3274431371389595,10634.0
1168058000,삼성1동,강남구,12299.0,1.943143995576592,6329.4
1168059000,삼성2동,강남구,30669.0,1.2413258813086911,24706.6
1168060000,대치1동,강남구,24010.0,0.8092048117973631,29671.1
1168061000,대치2동,강남구,38326.0,1.8359624507437324,20875.2
1168063000,대치4동,강남구,18906.0,0.7005469238886035,26987.5
1168064000,역삼1동,강남구,34312.0,2.360341149291698,14536.9
1168065000,역삼2동,강남구,36573.0,1.1341661777114065,32246.6
1168065500,도곡1동,강남구,20626.0,1.0498111439141309,19647.3
1168065600,도곡2동,강남구,32688.0,0.99000861048798,33017.9
1168066000,개포1동,강남구,6889.0,1.4488443114373963,4754.8
1168067000,개포2동,강남구,41266.0,2.24162227578288,18409.0
1168069000,개포4동,강남구,23406.0,1.6641917677564069,14064.5
1168070000,세곡동,강남구,45654.0,6.36200560801776,7176.0
1168072000,일원본동,강남구,22886.0,2.352816260610416,9727.1
1168073000,일원1동,강남구,14644.0,0.952738150944692,15370.4
1168074000,일원2동,강남구,,,
1168075000,수서동,강남구,14134.0,1.6281470822631774,8681.0
1171051000,풍납1동,송파구,11855.0,1.074461671524067,11033.4
1171052000,풍납2동,송파구,23796.0,2.562572926449012,9286.0
1171053100,거여1동,송파구,12051.0,0.5219014918714899,23090.6
1171053200,거여2동,송파구,23616.0,0.5092229390163666,46376.5
1171054000,마천1동,송파구,18130.0,0.5748084356342865,31540.9
1171055000,마천2동,송파구,17682.0,0.8899927067520285,19867.6
1171056100,방이1동,송파구,15159.0,0.6087869865981689,24900.3
1171056200,방이2동,송파구,26179.0,0.7692453209702869,34032.1
1171056600,오륜동,송파구,17847.0,3.08269243258614,5789.4
1171057000,오금동,송파구,37528.0,1.6475859617984212,22777.6
