adm_cd,adm_nm,자치구,S_JVWI,dagagu_count,new_density,전세가율,고전세가율비율,공시지가대비전세가괴리,officetel_share,pop_density,n_dagagu_count,n_new_density,n_전세가율,n_고전세가율비율,n_공시지가대비전세가괴리,n_officetel_share,n_pop_density
1162065500,신원동,관악구,41.56,400,60.6,73.58,23.7,1.4996,0.2016,32498.7,0.34995625546806647,0.3271255060728745,0.6888524253922674,0.3181208053691275,0.3007777835562588,0.3027481603844421,0.6483276011263237
1126065500,망우본동,중랑구,41.49,435,39.69,75.84,21.5,2.2367,0.2655,12022.9,0.3805774278215223,0.214251012145749,0.7120295354322634,0.28859060402684567,0.6050148135490521,0.3987085147920108,0.2391299568935368
1150059100,화곡제6동,강서구,41.42,287,38.45,81.29,39.4,1.599,0.234,23952.9,0.2510936132983377,0.20755735492577598,0.7679212388472978,0.5288590604026846,0.3418049993767494,0.3514041147319417,0.47754447040202724
1162064500,서원동,관악구,41.12,400,51.0,73.58,23.7,1.4996,0.2016,35531.8,0.34995625546806647,0.27530364372469635,0.6888524253922674,0.3181208053691275,0.3007777835562588,0.3027481603844421,0.7089424427795176
1162068500,신사동,관악구,41.07,400,51.51,73.58,23.7,1.4996,0.2016,34953.1,0.34995625546806647,0.2780566801619433,0.6888524253922674,0.3181208053691275,0.3007777835562588,0.3027481603844421,0.6973774403514066
1126061000,중화제2동,중랑구,41.0,596,56.58,69.28,13.0,2.0866,0.0506,23484.1,0.5214348206474191,0.3054251012145749,0.6447543841657266,0.174496644295302,0.5430612411682104,0.07598738549331731,0.4681757592592963
1130561500,수유1동,강북구,40.95,445,21.23,80.87,37.3,1.8123,0.2169,12110.0,0.389326334208224,0.11460188933873144,0.7636139883088915,0.5006711409395973,0.42984428644426104,0.32572458327076137,0.24087060267112184
1162061500,중앙동,관악구,40.89,285,76.3,66.86,14.1,1.6152,0.2764,39774.5,0.24934383202099739,0.41187584345479084,0.6199364167777663,0.18926174496644294,0.3484915275084592,0.41507733893978066,0.7937304776883585
1132069000,방학제1동,도봉구,40.68,361,17.31,86.33,27.5,2.0354,0.1493,26657.0,0.31583552055993,0.0934412955465587,0.8196082453081734,0.3691275167785235,0.521928510282807,0.22420783901486707,0.5315844273155486
1154567000,시흥제1동,금천구,40.55,674,15.37,70.25,24.3,1.7281,0.1863,21160.9,0.5896762904636921,0.0829689608636977,0.6547020818377602,0.3261744966442953,0.3950908501053746,0.2797717374981228,0.4217478801492439
1141058500,신촌동,서대문구,40.52,350,9.01,71.55,50.8,1.3259,0.5335,7489.8,0.30621172353455817,0.04863697705802969,0.6680340477899702,0.6818791946308724,0.22908334303292657,0.8011713470491064,0.14853843709593936
1123065000,장안제1동,동대문구,40.41,287,25.35,70.36,33.0,1.638,0.4105,27955.3,0.2510936132983377,0.1368421052631579,0.6558301712644857,0.4429530201342282,0.35790219673086543,0.6164589277669319,0.5575302414721347
1156067000,신길제5동,영등포구,40.33,601,90.82,53.02,6.1,2.0567,0.1096,20241.2,0.5258092738407699,0.4902564102564102,0.47800225617885345,0.08187919463087248,0.5307200565300549,0.16458927766931972,0.4033681795563052
1162072500,조원동,관악구,40.0,400,49.54,73.58,23.7,1.4996,0.2016,29436.2,0.34995625546806647,0.26742240215924423,0.6888524253922674,0.3181208053691275,0.3007777835562588,0.3027481603844421,0.5871252165814996
1130564500,우이동,강북구,39.99,580,6.9,80.48,36.3,1.8574,0.2,1880.5,0.5074365704286964,0.03724696356275304,0.7596143985232284,0.48724832214765096,0.4484592505640209,0.3003453972067878,0.03643964995233708
1138057000,대조동,은평구,39.99,510,41.12,71.51,24.3,1.3205,0.1757,32115.1,0.4461942257217848,0.221970310391363,0.6676238334529793,0.3261744966442953,0.22685450032235663,0.2638534314461631,0.6406615653021949
1154568000,시흥제2동,금천구,39.93,674,17.89,70.25,24.3,1.7281,0.1863,15740.3,0.5896762904636921,0.09657219973009447,0.6547020818377602,0.3261744966442953,0.3950908501053746,0.2797717374981228,0.3134201591162076
1130566000,인수동,강북구,39.64,445,11.68,80.87,37.3,1.8123,0.2169,9743.9,0.389326334208224,0.06304993252361674,0.7636139883088915,0.5006711409395973,0.42984428644426104,0.32572458327076137,0.19358539056613952
1126057000,면목제7동,중랑구,39.54,768,32.13,65.39,12.6,1.9844,0.0646,17190.4,0.6719160104986877,0.1734412955465587,0.6048610398933443,0.16912751677852347,0.5008783291274244,0.09701156329779247,0.34239961310100747
1150062000,공항동,강서구,39.53,491,4.45,58.49,22.0,2.4743,0.5259,2707.1,0.42957130358705164,0.024021592442645075,0.5340990667623833,0.2953020134228188,0.7030838928141283,0.7897582219552486,0.052958798055113124
